hours	sugar	strain	OD600
2	gluc	wt	0,193
3	gluc	wt	0,395
4	gluc	wt	0,634
5	gluc	wt	0,828
6	gluc	wt	1,248
7	gluc	wt	1,314
8	gluc	wt	1,288
2	gluc	Nissle	0,134
3	gluc	Nissle	0,341
4	gluc	Nissle	0,588
5	gluc	Nissle	0,788
6	gluc	Nissle	1,26
7	gluc	Nissle	1,228
8	gluc	Nissle	1,156
2	gluc	wt	0,184
3	gluc	wt	0,372
4	gluc	wt	0,637
5	gluc	wt	0,927
6	gluc	wt	1,31
7	gluc	wt	1,502
8	gluc	wt	
2	gluc	Nissle	0,102
3	gluc	Nissle	0,238
4	gluc	Nissle	0,544
5	gluc	Nissle	0,816
6	gluc	Nissle	1,224
7	gluc	Nissle	1,384
8	gluc	Nissle	
2	gluc	wt	0,175
3	gluc	wt	0,387
4	gluc	wt	0,573
5	gluc	wt	0,91
6	gluc	wt	1,102
7	gluc	wt	1,46
8	gluc	wt	
2	gluc	Nissle	0,081
3	gluc	Nissle	0,208
4	gluc	Nissle	0,451
5	gluc	Nissle	0,862
6	gluc	Nissle	1,188
7	gluc	Nissle	1,158
8	gluc	Nissle	
2	SQ	wt	0,181
3	SQ	wt	0,252
4	SQ	wt	0,292
5	SQ	wt	0,314
6	SQ	wt	0,324
7	SQ	wt	0,334
8	SQ	wt	0,343
2	SQ	Nissle	0,113
3	SQ	Nissle	0,164
4	SQ	Nissle	0,209
5	SQ	Nissle	0,228
6	SQ	Nissle	0,246
7	SQ	Nissle	0,256
8	SQ	Nissle	0,261
2	SQ	wt	0,155
3	SQ	wt	0,24
4	SQ	wt	0,299
5	SQ	wt	0,314
6	SQ	wt	0,322
7	SQ	wt	0,332
8	SQ	wt	
2	SQ	Nissle	0,14
3	SQ	Nissle	0,212
4	SQ	Nissle	0,258
5	SQ	Nissle	0,276
6	SQ	Nissle	0,277
7	SQ	Nissle	0,284
8	SQ	Nissle	
2	SQ	wt	0,153
3	SQ	wt	0,213
4	SQ	wt	0,249
5	SQ	wt	0,293
6	SQ	wt	0,244
7	SQ	wt	0,327
8	SQ	wt	
2	SQ	Nissle	0,133
3	SQ	Nissle	0,205
4	SQ	Nissle	0,23
5	SQ	Nissle	0,253
6	SQ	Nissle	0,247
7	SQ	Nissle	0,326
8	SQ	Nissle	
2	lac	wt	0,165
3	lac	wt	0,337
4	lac	wt	0,59
5	lac	wt	0,827
6	lac	wt	1,216
7	lac	wt	1,416
8	lac	wt	1,488
2	lac	Nissle	0,129
3	lac	Nissle	0,332
4	lac	Nissle	0,577
5	lac	Nissle	0,772
6	lac	Nissle	1,11
7	lac	Nissle	1,382
8	lac	Nissle	1,342
2	lac	wt	0,144
3	lac	wt	0,297
4	lac	wt	0,57
5	lac	wt	0,752
6	lac	wt	1,088
7	lac	wt	1,226
8	lac	wt	
2	lac	Nissle	0,112
3	lac	Nissle	0,249
4	lac	Nissle	0,509
5	lac	Nissle	0,744
6	lac	Nissle	1,134
7	lac	Nissle	1,19
8	lac	Nissle	
2	lac	wt	0,15
3	lac	wt	0,327
4	lac	wt	0,506
5	lac	wt	0,826
6	lac	wt	0,804
7	lac	wt	1,176
8	lac	wt	
2	lac	Nissle	0,09
3	lac	Nissle	0,238
4	lac	Nissle	0,404
5	lac	Nissle	0,725
6	lac	Nissle	1,064
7	lac	Nissle	1,464
8	lac	Nissle	